pos,is_fiverr_choice,seller_name,seller_country,seller_level,is_pro,buying_review_rating_count,buying_review_rating,price_i,count,score
0,True,web_chrome,BD,level_two_seller,False,101,5,80,101,4.993399
1,False,leadsbridge,BD,top_rated_seller,False,35,4.9,85,480,4.907986
2,False,shahzaib_cheema,PK,top_rated_seller,False,319,4.9,100,450,4.943953
3,False,aleenkha,PK,level_two_seller,False,131,4.9,80,131,4.9083967
4,False,rooloo,IN,top_rated_seller,True,4,4,150,119,4.885714
5,False,ibrahimshah361,PK,top_rated_seller,False,820,5,100,905,4.933544
6,False,gramup,PK,top_rated_seller,False,361,5,180,441,4.9895425
7,False,link2adeel,PK,level_two_seller,False,461,4.9,20,662,4.9432497
8,False,noorahmed007,PK,top_rated_seller,False,1539,4.9,80,1686,4.9300876
9,False,rankharvest,US,top_rated_seller,False,16,4.9,300,1430,4.908741
10,False,webflow_web_hub,PK,level_two_seller,False,94,4.7,100,165,4.6239314
11,False,ramiz_raza,IN,top_rated_seller,False,1301,4.9,200,1536,4.894795
12,False,wix_guru,PK,top_rated_seller,False,1837,4.9,145,1866,4.8734837
13,False,web_spero,BD,level_two_seller,False,35,5,85,68,4.9313726
14,False,tech_wide,BD,level_two_seller,False,76,5,85,111,4.963964
15,False,godev_,BD,level_two_seller,False,111,5,90,113,4.961652
16,False,wp_arju,BD,level_two_seller,False,154,4.9,80,157,4.81741
17,False,pixleehub,BD,level_two_seller,False,251,4.9,90,252,4.9126983
18,False,talha_dx,PK,level_one_seller,False,10,5,80,35,4.866667
19,False,websquadron,BD,level_two_seller,False,139,4.9,120,140,4.9428573
20,False,dotweb01,BD,level_two_seller,False,141,4.9,85,141,4.9479904
21,False,hsnfarooq,PK,level_two_seller,False,391,4.9,15,405,4.8568625
22,False,badar121,PK,top_rated_seller,False,147,5,80,187,4.9930553
23,False,xpresseditor,BD,level_two_seller,False,140,4.9,80,141,4.917258
24,False,noah_designer,PK,level_two_seller,False,35,4.9,200,639,4.8911567
25,False,shopify_pos,BD,level_two_seller,False,139,5,95,139,4.961631
26,False,rank_champ,BD,level_two_seller,False,34,5,150,34,5
27,False,hashamzafar2231,PK,level_two_seller,False,84,5,100,86,4.97093
28,False,businesswp,PK,level_one_seller,False,217,4.9,80,217,4.8517666
29,False,rajpdheeraj,IN,level_one_seller,False,13,5,50,14,4.928571
30,False,anchortech_,BD,level_two_seller,False,59,5,85,77,5
31,False,wpweb_guru,BD,level_two_seller,False,38,5,85,38,5
32,False,devsaffinity,PK,level_two_seller,False,28,4.9,100,28,4.928571
33,False,aliahmed2u,PK,level_two_seller,False,196,4.9,80,238,4.9481792
34,False,tech_wonder,BD,level_two_seller,False,35,5,80,35,5
35,False,digixtudios,PK,level_two_seller,False,62,4.9,80,81,4.9423866
36,False,digitals360s,PK,level_two_seller,False,36,5,80,36,4.962963
37,False,dev_verse,BD,level_two_seller,False,56,5,85,56,5
38,False,pandascout,BD,level_two_seller,False,321,4.8,150,333,4.838906
39,False,nomanmalik200,PK,level_two_seller,False,33,5,80,82,4.804878
40,False,web_experts24,BD,level_one_seller,False,16,5,85,16,5
41,False,spark_tech03,PK,level_two_seller,False,28,4.7,100,28,4.7261906
42,False,webbe_tech,AE,level_one_seller,False,17,5,350,17,5
43,False,tech_reaper,BD,level_two_seller,False,75,5,85,75,4.9911113
44,False,abdcorp,PK,level_two_seller,False,73,4.8,80,234,4.886447
45,False,alimehdi242,PK,level_two_seller,False,593,5,80,666,4.992467
